Second 0: No pose detected
Second 1: No pose detected
Second 2: No pose detected
Second 3: No pose detected
Second 4:
  Body Pose:
    Landmark 23: (328, 1207) | Visibility: 0.676
    Landmark 24: (193, 1237) | Visibility: 0.707
    Landmark 25: (493, 716) | Visibility: 0.179
    Landmark 26: (237, 737) | Visibility: 0.140
    Landmark 27: (495, 387) | Visibility: 0.056
    Landmark 28: (396, 429) | Visibility: 0.040
    Landmark 29: (464, 421) | Visibility: 0.052
    Landmark 30: (413, 417) | Visibility: 0.039
    Landmark 31: (448, 242) | Visibility: 0.041
    Landmark 32: (407, 211) | Visibility: 0.035
Second 9:
  Body Pose:
    Landmark 0: (297, 526) | Visibility: 0.991
    Landmark 1: (242, 492) | Visibility: 0.990
    Landmark 2: (274, 491) | Visibility: 0.989
    Landmark 3: (329, 489) | Visibility: 0.990
    Landmark 4: (279, 497) | Visibility: 0.992
    Landmark 5: (277, 498) | Visibility: 0.992
    Landmark 6: (273, 500) | Visibility: 0.994
    Landmark 7: (360, 500) | Visibility: 0.989
    Landmark 8: (269, 512) | Visibility: 0.992
    Landmark 9: (314, 554) | Visibility: 0.968
    Landmark 10: (238, 559) | Visibility: 0.970
    Landmark 11: (554, 636) | Visibility: 0.916
    Landmark 12: (239, 655) | Visibility: 0.912
    Landmark 13: (595, 385) | Visibility: 0.313
    Landmark 14: (164, 515) | Visibility: 0.395
    Landmark 15: (528, 313) | Visibility: 0.152
    Landmark 16: (164, 415) | Visibility: 0.270
    Landmark 17: (513, 298) | Visibility: 0.142
    Landmark 18: (161, 396) | Visibility: 0.260
    Landmark 19: (517, 309) | Visibility: 0.151
    Landmark 20: (170, 394) | Visibility: 0.274
    Landmark 21: (518, 320) | Visibility: 0.153
    Landmark 22: (172, 404) | Visibility: 0.259
    Landmark 23: (467, 1147) | Visibility: 0.611
    Landmark 24: (346, 1213) | Visibility: 0.639
    Landmark 25: (491, 699) | Visibility: 0.179
    Landmark 26: (354, 777) | Visibility: 0.131
    Landmark 27: (453, 547) | Visibility: 0.056
    Landmark 28: (410, 565) | Visibility: 0.038
    Landmark 29: (423, 566) | Visibility: 0.052
    Landmark 30: (403, 560) | Visibility: 0.038
    Landmark 31: (452, 419) | Visibility: 0.044
    Landmark 32: (440, 428) | Visibility: 0.036
Second 10: No pose detected
Second 11: No pose detected
Second 12:
  Body Pose:
    Landmark 0: (463, 163) | Visibility: 0.992
    Landmark 1: (462, 143) | Visibility: 0.991
    Landmark 2: (467, 143) | Visibility: 0.990
    Landmark 3: (472, 143) | Visibility: 0.991
    Landmark 4: (436, 145) | Visibility: 0.993
    Landmark 5: (423, 147) | Visibility: 0.993
    Landmark 6: (409, 151) | Visibility: 0.995
    Landmark 7: (468, 162) | Visibility: 0.990
    Landmark 8: (376, 174) | Visibility: 0.993
    Landmark 9: (475, 198) | Visibility: 0.971
    Landmark 10: (444, 203) | Visibility: 0.973
    Landmark 11: (564, 346) | Visibility: 0.925
    Landmark 12: (285, 362) | Visibility: 0.920
    Landmark 13: (621, 569) | Visibility: 0.374
    Landmark 14: (221, 606) | Visibility: 0.441
    Landmark 15: (648, 779) | Visibility: 0.194
    Landmark 16: (199, 796) | Visibility: 0.273
    Landmark 17: (662, 843) | Visibility: 0.174
    Landmark 18: (188, 857) | Visibility: 0.259
    Landmark 19: (637, 838) | Visibility: 0.191
    Landmark 20: (209, 852) | Visibility: 0.277
    Landmark 21: (635, 817) | Visibility: 0.193
    Landmark 22: (223, 830) | Visibility: 0.266
    Landmark 23: (509, 751) | Visibility: 0.555
    Landmark 24: (331, 746) | Visibility: 0.579
    Landmark 25: (514, 1110) | Visibility: 0.161
    Landmark 26: (315, 1121) | Visibility: 0.118
    Landmark 27: (509, 1406) | Visibility: 0.050
    Landmark 28: (320, 1411) | Visibility: 0.035
    Landmark 29: (511, 1448) | Visibility: 0.047
    Landmark 30: (319, 1452) | Visibility: 0.034
    Landmark 31: (488, 1503) | Visibility: 0.039
    Landmark 32: (344, 1505) | Visibility: 0.032
Second 13:
  Body Pose:
    Landmark 0: (478, 215) | Visibility: 0.993
    Landmark 1: (481, 190) | Visibility: 0.992
    Landmark 2: (490, 190) | Visibility: 0.991
    Landmark 3: (498, 191) | Visibility: 0.992
    Landmark 4: (447, 192) | Visibility: 0.994
    Landmark 5: (431, 195) | Visibility: 0.994
    Landmark 6: (415, 198) | Visibility: 0.995
    Landmark 7: (494, 206) | Visibility: 0.991
    Landmark 8: (382, 223) | Visibility: 0.993
    Landmark 9: (493, 252) | Visibility: 0.974
    Landmark 10: (453, 256) | Visibility: 0.975
    Landmark 11: (605, 412) | Visibility: 0.932
    Landmark 12: (285, 419) | Visibility: 0.928
    Landmark 13: (646, 658) | Visibility: 0.409
    Landmark 14: (220, 670) | Visibility: 0.468
    Landmark 15: (682, 901) | Visibility: 0.193
    Landmark 16: (198, 875) | Visibility: 0.258
    Landmark 17: (709, 970) | Visibility: 0.173
    Landmark 18: (182, 936) | Visibility: 0.243
    Landmark 19: (679, 979) | Visibility: 0.197
    Landmark 20: (202, 939) | Visibility: 0.265
    Landmark 21: (660, 951) | Visibility: 0.197
    Landmark 22: (218, 914) | Visibility: 0.255
    Landmark 23: (541, 852) | Visibility: 0.500
    Landmark 24: (336, 851) | Visibility: 0.522
    Landmark 25: (518, 1205) | Visibility: 0.147
    Landmark 26: (320, 1203) | Visibility: 0.107
    Landmark 27: (510, 1513) | Visibility: 0.046
    Landmark 28: (322, 1513) | Visibility: 0.031
    Landmark 29: (512, 1563) | Visibility: 0.042
    Landmark 30: (321, 1561) | Visibility: 0.031
    Landmark 31: (489, 1607) | Visibility: 0.036
    Landmark 32: (346, 1614) | Visibility: 0.029
Second 14:
  Body Pose:
    Landmark 0: (326, 517) | Visibility: 0.939
    Landmark 1: (331, 502) | Visibility: 0.949
    Landmark 2: (334, 501) | Visibility: 0.949
    Landmark 3: (338, 501) | Visibility: 0.954
    Landmark 4: (319, 505) | Visibility: 0.941
    Landmark 5: (314, 506) | Visibility: 0.938
    Landmark 6: (309, 507) | Visibility: 0.943
    Landmark 7: (337, 510) | Visibility: 0.949
    Landmark 8: (297, 519) | Visibility: 0.936
    Landmark 9: (329, 531) | Visibility: 0.934
    Landmark 10: (316, 534) | Visibility: 0.922
    Landmark 11: (386, 571) | Visibility: 0.901
    Landmark 12: (249, 573) | Visibility: 0.877
    Landmark 13: (440, 599) | Visibility: 0.383
    Landmark 14: (247, 477) | Visibility: 0.442
    Landmark 15: (461, 497) | Visibility: 0.183
    Landmark 16: (297, 270) | Visibility: 0.272
    Landmark 17: (470, 483) | Visibility: 0.168
    Landmark 18: (315, 226) | Visibility: 0.260
    Landmark 19: (471, 467) | Visibility: 0.190
    Landmark 20: (303, 215) | Visibility: 0.281
    Landmark 21: (467, 469) | Visibility: 0.192
    Landmark 22: (298, 229) | Visibility: 0.271
    Landmark 23: (369, 892) | Visibility: 0.460
    Landmark 24: (296, 896) | Visibility: 0.478
    Landmark 25: (335, 778) | Visibility: 0.144
    Landmark 26: (263, 751) | Visibility: 0.101
    Landmark 27: (301, 713) | Visibility: 0.045
    Landmark 28: (287, 691) | Visibility: 0.032
    Landmark 29: (292, 709) | Visibility: 0.043
    Landmark 30: (287, 687) | Visibility: 0.032
    Landmark 31: (297, 686) | Visibility: 0.038
    Landmark 32: (304, 659) | Visibility: 0.034
Second 15:
  Body Pose:
    Landmark 0: (192, 602) | Visibility: 0.919
    Landmark 1: (167, 597) | Visibility: 0.927
    Landmark 2: (180, 594) | Visibility: 0.927
    Landmark 3: (200, 575) | Visibility: 0.934
    Landmark 4: (160, 598) | Visibility: 0.918
    Landmark 5: (158, 598) | Visibility: 0.910
    Landmark 6: (169, 589) | Visibility: 0.912
