Second 0:
  Body Pose:
    Landmark 0: (142, 535) | Visibility: 0.986
    Landmark 1: (162, 501) | Visibility: 0.987
    Landmark 2: (176, 503) | Visibility: 0.988
    Landmark 3: (190, 506) | Visibility: 0.989
    Landmark 4: (113, 503) | Visibility: 0.988
    Landmark 5: (93, 505) | Visibility: 0.989
    Landmark 6: (72, 508) | Visibility: 0.989
    Landmark 7: (210, 528) | Visibility: 0.990
    Landmark 8: (47, 530) | Visibility: 0.989
    Landmark 9: (167, 577) | Visibility: 0.977
    Landmark 10: (115, 579) | Visibility: 0.981
    Landmark 11: (269, 706) | Visibility: 0.916
    Landmark 12: (-1, 717) | Visibility: 0.854
    Landmark 13: (312, 896) | Visibility: 0.111
    Landmark 14: (-131, 964) | Visibility: 0.171
    Landmark 15: (328, 917) | Visibility: 0.196
    Landmark 16: (-43, 1037) | Visibility: 0.059
    Landmark 17: (350, 936) | Visibility: 0.260
    Landmark 18: (-30, 1084) | Visibility: 0.111
    Landmark 19: (338, 910) | Visibility: 0.304
    Landmark 20: (-12, 1049) | Visibility: 0.144
    Landmark 21: (324, 906) | Visibility: 0.292
    Landmark 22: (-13, 1031) | Visibility: 0.136
    Landmark 23: (188, 1261) | Visibility: 0.006
    Landmark 24: (-33, 1253) | Visibility: 0.005
    Landmark 25: (186, 1655) | Visibility: 0.008
    Landmark 26: (-19, 1632) | Visibility: 0.008
    Landmark 27: (205, 2040) | Visibility: 0.000
    Landmark 28: (6, 2021) | Visibility: 0.001
    Landmark 29: (200, 2096) | Visibility: 0.000
    Landmark 30: (-14, 2078) | Visibility: 0.002
    Landmark 31: (225, 2145) | Visibility: 0.002
    Landmark 32: (77, 2127) | Visibility: 0.003
Second 1:
  Body Pose:
    Landmark 0: (459, 503) | Visibility: 0.987
    Landmark 1: (484, 458) | Visibility: 0.989
    Landmark 2: (498, 457) | Visibility: 0.989
    Landmark 3: (514, 456) | Visibility: 0.990
    Landmark 4: (442, 462) | Visibility: 0.990
    Landmark 5: (426, 464) | Visibility: 0.990
    Landmark 6: (410, 466) | Visibility: 0.990
    Landmark 7: (534, 469) | Visibility: 0.991
    Landmark 8: (378, 482) | Visibility: 0.990
    Landmark 9: (478, 546) | Visibility: 0.979
    Landmark 10: (427, 547) | Visibility: 0.983
    Landmark 11: (550, 683) | Visibility: 0.924
    Landmark 12: (225, 652) | Visibility: 0.868
    Landmark 13: (581, 919) | Visibility: 0.135
    Landmark 14: (102, 855) | Visibility: 0.187
    Landmark 15: (547, 974) | Visibility: 0.199
    Landmark 16: (100, 786) | Visibility: 0.087
    Landmark 17: (541, 1007) | Visibility: 0.263
    Landmark 18: (86, 765) | Visibility: 0.139
    Landmark 19: (533, 964) | Visibility: 0.310
    Landmark 20: (88, 745) | Visibility: 0.175
    Landmark 21: (525, 954) | Visibility: 0.296
    Landmark 22: (107, 756) | Visibility: 0.167
    Landmark 23: (436, 1196) | Visibility: 0.008
    Landmark 24: (216, 1190) | Visibility: 0.006
    Landmark 25: (440, 1627) | Visibility: 0.016
    Landmark 26: (233, 1624) | Visibility: 0.012
    Landmark 27: (456, 2027) | Visibility: 0.001
    Landmark 28: (254, 2019) | Visibility: 0.001
    Landmark 29: (456, 2084) | Visibility: 0.000
    Landmark 30: (247, 2074) | Visibility: 0.002
    Landmark 31: (451, 2139) | Visibility: 0.002
    Landmark 32: (284, 2127) | Visibility: 0.003
Second 2:
  Body Pose:
    Landmark 0: (449, 691) | Visibility: 0.986
    Landmark 1: (468, 688) | Visibility: 0.987
    Landmark 2: (472, 689) | Visibility: 0.987
    Landmark 3: (475, 690) | Visibility: 0.988
    Landmark 4: (457, 689) | Visibility: 0.987
    Landmark 5: (452, 691) | Visibility: 0.987
    Landmark 6: (447, 693) | Visibility: 0.988
    Landmark 7: (466, 711) | Visibility: 0.988
    Landmark 8: (425, 714) | Visibility: 0.988
    Landmark 9: (436, 706) | Visibility: 0.975
    Landmark 10: (420, 705) | Visibility: 0.980
    Landmark 11: (439, 759) | Visibility: 0.924
    Landmark 12: (325, 820) | Visibility: 0.870
    Landmark 13: (470, 724) | Visibility: 0.190
    Landmark 14: (350, 865) | Visibility: 0.190
    Landmark 15: (471, 655) | Visibility: 0.235
    Landmark 16: (403, 771) | Visibility: 0.116
    Landmark 17: (480, 605) | Visibility: 0.291
    Landmark 18: (427, 764) | Visibility: 0.166
    Landmark 19: (482, 605) | Visibility: 0.332
    Landmark 20: (414, 740) | Visibility: 0.200
    Landmark 21: (480, 599) | Visibility: 0.320
    Landmark 22: (403, 740) | Visibility: 0.191
    Landmark 23: (371, 1199) | Visibility: 0.017
    Landmark 24: (323, 1248) | Visibility: 0.013
    Landmark 25: (411, 1015) | Visibility: 0.074
    Landmark 26: (326, 1057) | Visibility: 0.018
    Landmark 27: (376, 1122) | Visibility: 0.020
    Landmark 28: (366, 1126) | Visibility: 0.008
    Landmark 29: (370, 1137) | Visibility: 0.020
    Landmark 30: (375, 1143) | Visibility: 0.013
    Landmark 31: (383, 1137) | Visibility: 0.024
    Landmark 32: (363, 1117) | Visibility: 0.015
Second 3:
  Body Pose:
    Landmark 0: (398, 421) | Visibility: 0.987
    Landmark 1: (426, 413) | Visibility: 0.988
    Landmark 2: (432, 416) | Visibility: 0.988
    Landmark 3: (436, 418) | Visibility: 0.989
    Landmark 4: (387, 396) | Visibility: 0.989
    Landmark 5: (374, 392) | Visibility: 0.988
    Landmark 6: (360, 388) | Visibility: 0.989
    Landmark 7: (404, 419) | Visibility: 0.989
    Landmark 8: (317, 370) | Visibility: 0.989
    Landmark 9: (394, 455) | Visibility: 0.978
    Landmark 10: (375, 418) | Visibility: 0.982
    Landmark 11: (405, 568) | Visibility: 0.931
    Landmark 12: (207, 470) | Visibility: 0.883
    Landmark 13: (451, 707) | Visibility: 0.185
    Landmark 14: (177, 325) | Visibility: 0.269
    Landmark 15: (477, 669) | Visibility: 0.227
    Landmark 16: (291, 375) | Visibility: 0.188
    Landmark 17: (475, 671) | Visibility: 0.282
    Landmark 18: (303, 375) | Visibility: 0.212
    Landmark 19: (473, 637) | Visibility: 0.324
    Landmark 20: (311, 375) | Visibility: 0.246
    Landmark 21: (452, 636) | Visibility: 0.312
    Landmark 22: (311, 426) | Visibility: 0.240
    Landmark 23: (368, 1051) | Visibility: 0.030
    Landmark 24: (219, 1031) | Visibility: 0.044
    Landmark 25: (399, 1347) | Visibility: 0.078
    Landmark 26: (250, 1327) | Visibility: 0.042
    Landmark 27: (391, 1658) | Visibility: 0.019
    Landmark 28: (274, 1623) | Visibility: 0.011
    Landmark 29: (377, 1701) | Visibility: 0.020
    Landmark 30: (256, 1637) | Visibility: 0.017
    Landmark 31: (414, 1731) | Visibility: 0.023
    Landmark 32: (324, 1653) | Visibility: 0.017
Second 4:
  Body Pose:
    Landmark 0: (378, 402) | Visibility: 0.989
    Landmark 1: (409, 353) | Visibility: 0.989
    Landmark 2: (425, 355) | Visibility: 0.989
    Landmark 3: (438, 357) | Visibility: 0.990
    Landmark 4: (346, 327) | Visibility: 0.990
    Landmark 5: (321, 314) | Visibility: 0.989
    Landmark 6: (299, 303) | Visibility: 0.990
    Landmark 7: (413, 365) | Visibility: 0.990
    Landmark 8: (305, 301) | Visibility: 0.990
    Landmark 9: (385, 456) | Visibility: 0.980
    Landmark 10: (323, 427) | Visibility: 0.983
    Landmark 11: (279, 579) | Visibility: 0.937
    Landmark 12: (92, 577) | Visibility: 0.894
    Landmark 13: (349, 769) | Visibility: 0.178
    Landmark 14: (125, 899) | Visibility: 0.311
    Landmark 15: (459, 782) | Visibility: 0.215
