Second 0:
  Body Pose:
    Landmark 25: (556, 903) | Visibility: 0.779
    Landmark 26: (426, 901) | Visibility: 0.806
    Landmark 27: (560, 1097) | Visibility: 0.465
    Landmark 28: (460, 1106) | Visibility: 0.321
    Landmark 29: (556, 1124) | Visibility: 0.491
    Landmark 30: (473, 1137) | Visibility: 0.347
    Landmark 31: (568, 1190) | Visibility: 0.408
    Landmark 32: (432, 1203) | Visibility: 0.291
Second 5:
  Body Pose:
    Landmark 0: (481, 315) | Visibility: 1.000
    Landmark 1: (507, 260) | Visibility: 1.000
    Landmark 2: (524, 262) | Visibility: 1.000
    Landmark 3: (538, 263) | Visibility: 1.000
    Landmark 4: (453, 248) | Visibility: 1.000
    Landmark 5: (434, 245) | Visibility: 0.999
    Landmark 6: (421, 242) | Visibility: 0.999
    Landmark 7: (533, 282) | Visibility: 1.000
    Landmark 8: (376, 257) | Visibility: 0.999
    Landmark 9: (493, 362) | Visibility: 1.000
    Landmark 10: (446, 355) | Visibility: 1.000
    Landmark 11: (577, 459) | Visibility: 1.000
    Landmark 12: (229, 411) | Visibility: 0.998
    Landmark 13: (562, 644) | Visibility: 0.876
    Landmark 14: (137, 655) | Visibility: 0.956
    Landmark 15: (619, 791) | Visibility: 0.861
    Landmark 16: (247, 774) | Visibility: 0.913
    Landmark 17: (653, 877) | Visibility: 0.831
    Landmark 18: (264, 818) | Visibility: 0.834
    Landmark 19: (629, 865) | Visibility: 0.830
    Landmark 20: (318, 790) | Visibility: 0.806
    Landmark 21: (605, 850) | Visibility: 0.832
    Landmark 22: (312, 780) | Visibility: 0.789
    Landmark 23: (456, 753) | Visibility: 0.999
    Landmark 24: (253, 802) | Visibility: 0.999
    Landmark 25: (629, 777) | Visibility: 0.770
    Landmark 26: (376, 954) | Visibility: 0.803
    Landmark 27: (739, 951) | Visibility: 0.472
    Landmark 28: (469, 1037) | Visibility: 0.312
    Landmark 29: (710, 1003) | Visibility: 0.500
    Landmark 30: (464, 1047) | Visibility: 0.343
    Landmark 31: (898, 1018) | Visibility: 0.405
    Landmark 32: (578, 1112) | Visibility: 0.279
Second 6:
  Body Pose:
    Landmark 0: (487, 309) | Visibility: 1.000
    Landmark 1: (512, 264) | Visibility: 1.000
    Landmark 2: (526, 266) | Visibility: 1.000
    Landmark 3: (538, 268) | Visibility: 1.000
